"response","time","response.1.titer"
1,173.5,7591.89618001123
1,174,7580.98043578903
1,174.5,7570.11164104465
1,175,7559.28946018454
1,175.5,7548.51356096397
1,176,7537.78361444409
1,176.5,7527.09929494981
1,177,7516.46028002829
1,177.5,7505.86625040801
1,178,7495.31688995861
1,178.5,7484.8118856512
1,179,7474.35092751936
1,179.5,7463.93370862076
1,180,7453.5599249993
1,180.5,7443.22927564787
1,181,7432.94146247166
1,181.5,7422.69619025206
1,182,7412.49316661101
1,182.5,7402.33210197605
1,183,7392.21270954573
1,183.5,7382.13470525562
1,184,7372.09780774486
1,184.5,7362.1017383231
1,185,7352.14622093808
1,185.5,7342.23098214352
1,186,7332.35575106767
1,186.5,7322.52025938212
1,187,7312.72424127131
1,187.5,7302.96743340221
1,188,7293.24957489473
1,188.5,7283.5704072923
1,189,7273.92967453308
1,189.5,7264.32712292148
1,190,7254.76250110012
1,190.5,7245.23556002218
1,191,7235.74605292422
1,191.5,7226.29373529924
1,192,7216.87836487032
1,192.5,7207.49970156447
1,193,7198.15750748695
1,193.5,7188.85154689589
1,194,7179.58158617738
1,194.5,7170.34739382075
1,195,7161.14874039433
1,195.5,7151.98539852151
1,196,7142.85714285714
1,196.5,7133.76375006422
1,197,7124.70499879096
1,197.5,7115.6806696482
1,198,7106.69054518701
1,198.5,7097.73440987676
1,199,7088.81205008336
1,199.5,7079.92325404789
1,200,7071.06781186548
1,200.5,7062.24551546449
1,201,7053.45615858598
1,201.5,7044.69953676347
1,202,7035.97544730292
1,202.5,7027.28368926307
1,203,7018.62406343596
1,203.5,7009.99637232782
1,204,7001.40042014005
1,204.5,6992.83601275066
1,205,6984.30295769578
1,205.5,6975.80106415156
1,206,6967.33014291618
1,206.5,6958.89000639221
1,207,6950.48046856916
1,207.5,6942.10134500623
1,208,6933.75245281536
1,208.5,6925.43361064444
1,209,6917.14463866075
1,209.5,6908.88535853467
1,210,6900.65559342354
1,210.5,6892.45516795578
1,211,6884.28390821514
1,211.5,6876.14164172529
1,212,6868.02819743445
1,212.5,6859.94340570035
1,213,6851.88709827532
1,213.5,6843.85910829155
1,214,6835.85927024663
1,214.5,6827.88741998919
1,215,6819.94339470473
1,215.5,6812.02703290172
1,216,6804.13817439772
1,216.5,6796.27666030585
1,217,6788.44233302131
1,217.5,6780.6350362081
1,218,6772.85461478596
1,218.5,6765.10091491738
1,219,6757.37378399486
1,219.5,6749.67307062827
1,220,6741.99862463242
1,220.5,6734.35029701474
1,221,6726.72793996312
1,221.5,6719.13140683396
1,222,6711.56055214024
1,222.5,6704.01523153991
1,223,6696.49530182425
1,223.5,6689.00062090651
1,224,6681.53104781061
1,224.5,6674.08644266
1,225,6666.66666666667
1,225.5,6659.27158212027
1,226,6651.90105237739
1,226.5,6644.55494185095
1,227,6637.23311599972
1,227.5,6629.93544131796
1,228,6622.66178532522
1,228.5,6615.41201655623
1,229,6608.1860045509
1,229.5,6600.9836198445
1,230,6593.80473395787
1,230.5,6586.64921938784
1,231,6579.51694959769
1,231.5,6572.40779900775
1,232,6565.32164298613
1,232.5,6558.25835783953
1,233,6551.21782080418
1,233.5,6544.19991003688
1,234,6537.20450460613
1,234.5,6530.23148448339
1,235,6523.28073053442
1,235.5,6516.35212451075
1,236,6509.44554904119
1,236.5,6502.56088762355
1,237,6495.69802461631
1,237.5,6488.8568452305
1,238,6482.03723552164
1,238.5,6475.23908238176
1,239,6468.46227353151
1,239.5,6461.70669751238
1,240,6454.97224367903
